Polska: Warszawa
Niemcy: Berlin
Francja: Paryż
Wlochy: Rzym
Hiszpania: Madryt
Portugalia: Lizbona
Holandia: Amsterdam
Belgia: Bruksela
Szwajcaria: Berno
Austria: Wiedeń
Szwecja: Sztokholm
Norwegia: Oslo
Dania: Kopenhaga
Finlandia: Helsinki
Grecja: Ateny
Czechy: Praga
Wegry: Budapeszt
Slowacja: Bratysława
Slowenia: Lublana
Chorwacja: Zagrzeb
Bosnia_i_Hercegowina: Sarajewo
Serbia: Belgrad
Czarnogora: Podgorica
Albania: Tirana
Macedonia_Polnocna: Skopje
Bulgaria: Sofia
Rumunia: Bukareszt
Moldawia: Kiszyniów
Ukraina: Kijów
Bialorus: Mińsk
Litwa: Wilno
Lotwa: Ryga
Estonia: Tallin
Rosja: Moskwa
Irlandia: Dublin
Wielka_Brytania: Londyn
Islandia: Reykjavik
